"","JDAY","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","QG_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"194",194,1.10850321463333,3.46683045185513,20.11012668,0,0.0188827632,0,14.8335555555556,2.2196886520046,20.318,9.59699999999999,14.97525,9.59699999999999,20.8128981481481,2.75241360841212,27.453,13.499,21.0655,23.447,8.85421296296296,2.82839093998038,14.887,1.827,9.25149999999999,2.13299999999998,82.0653424319172,7.55294420926616,97.6350549172111,57.0637485961853,82.3167821863472,85.3792368665964,14.5158164078665,4.31987283790483,18.99467064,1.618256052,16.49924865,15.29285832,1.86870704405842,0.667592729709874,4.98220828065937,0.589660785269738,1.72140014941946,1.33990046138918
"195",195,0.572371555733333,1.37833202455723,7.390021752,0,0.0274658328,0,14.532212962963,2.13740413372353,19.842,9.03300000000001,14.82175,15.3885,20.3104074074074,2.46271409064899,25.772,13.62,20.687,19.427,8.75401851851852,3.00888543646103,14.29,2.04700000000003,8.8945,8.30599999999998,82.1631857887081,7.01115807742356,96.3142750202562,56.2564804075046,82.3942463069241,82.179088722292,14.9166896783398,3.96397915353986,18.91304892,3.58402266,16.9543705752,17.5518576,1.9728829890703,0.575089985622476,4.27511337000092,1.0757782826942,1.87577123521012,1.50157856023594
"196",196,0.513291283433333,1.23191274244724,6.48365166,0,0.0051498396,0,14.6106944444444,2.26549194574391,18.3435,7.1055,15.04175,12.743,20.6758981481481,2.34029587529478,24.418,14.065,20.8275,18.909,8.54549074074074,3.10422934736384,13.963,-1.27600000000001,9.149,6.577,80.3841662046489,7.18003452930643,95.4151220419949,52.7679432424612,81.6375969196432,76.0796212892036,15.3187632297568,3.43748614672728,19.1833344,3.6690165,16.79827662,17.92389276,1.84428654945106,0.441315110390975,3.39414850679083,1.1295095888821,1.81078462315874,2.16205493664165
"197",197,0.669733623733333,1.43617699305144,7.65609336,0,0.0068664528,0,14.4736574074074,2.05870084095806,18.538,8.41700000000001,14.672,14.608,20.0692962962963,2.49401310903201,24.757,11.565,20.0715,21.804,8.87801851851852,2.96506824867152,14.699,-0.166999999999973,9.08350000000002,10.176,81.5696600754717,7.66424213868384,97.7504837583927,63.132980248833,81.6186173501659,78.2874282767836,13.8791266160744,4.77773758465118,19.00777158,1.23114384,16.12372545,16.99143516,1.97062791193277,0.573861319099807,4.01723973250346,0.808268407020118,1.97895532850938,2.61228130824811
"198",198,2.08021814406667,5.00711502374732,29.72145708,0,0.1167297696,0,14.4839490740741,2.19766496721634,19.467,8.7205,14.66975,8.97199999999999,19.9272962962963,3.17330482307847,26.17,10.752,20.6375,23.225,9.04060185185185,2.90284231301015,14.656,1.27600000000001,9.36450000000002,11.766,81.4934559919808,10.5224488752227,99.3651394121247,49.7959814848017,83.6849101142457,88.8021098213664,13.3448012416863,5.55521089248131,18.89966484,0.8403442918416,14.840334552474,10.3724406,1.91460663642499,0.430247375052999,3.03749271312051,1.13131196180921,1.88848257522878,1.36030673325598
"199",199,1.90068106646667,4.29112168914915,24.83253504,0,0.172519632,0,14.7941296296296,1.8267822578563,21.2575,10.66,14.809,14.9315,20.26475,2.89420476100053,27.659,13.013,20.6835,19.894,9.32350925925926,2.45822836249126,15.06,1.13200000000001,9.39099999999999,9.94200000000001,81.1930379216291,9.96464523548644,98.0267619831636,53.6934262849965,83.1264823822829,81.6675809213213,13.6057700357023,5.0616048961073,18.93943404,2.502124802496,15.3815625,18.47824146,1.97264203727384,0.495008167503469,3.39468025833337,0.895181683271499,1.91647721457355,1.36906772821541
"200",200,1.84533634406667,3.54173472140383,21.35214684,0,0.389671488,0,14.6677824074074,2.34230206703555,19.876,8.18149999999999,14.9535,14.559,20.2204537037037,3.60283525004379,26.309,11.841,21.6065,20.626,9.11511111111111,2.50372994398333,14.117,3.19,9.35499999999999,8.49200000000002,82.4324986790237,8.82474434555188,97.8489247827598,54.1710224566562,82.9653153498131,79.9042929248664,13.5429154366982,5.08054774068115,18.97373898,1.22422536,15.00245928,15.02892792,1.97790841456629,0.518554365009534,3.77434506496496,0.921729755255313,1.85514711516802,2.75550403276463
"201",201,2.2903204722,5.16153244363728,24.683187924,0,0.3433230324,0,14.67525,2.70440571278531,18.7685,7.99999999999999,15.065,10.9945,19.6134351851852,3.81892309592406,25.769,10.24,20.254,19.32,9.73706481481481,2.58204928492437,14.462,3.42599999999999,10.2065,11.394,84.6615229855852,9.24436413461995,98.0757424945138,51.141458521051,86.3272263075895,92.4585604562687,12.9048954628235,5.20450615764424,19.05423732,1.08618786,14.3829018,2.057568768,2.0249132319693,0.583886302625429,3.5006218565765,1.02655459965709,1.93023892441268,3.39301192064821
"202",202,1.06508732833333,2.23871470806747,15.219497196,0,0.2677917492,0,14.9957592592593,2.68112833992465,19.949,8.85049999999999,15.432,10.7385,20.4850833333333,3.51187871313837,25.925,10.983,21.493,15.92,9.50643518518518,2.68738585507879,14.228,2.38099999999997,9.903,5.55700000000002,81.9725371044754,8.11645601802981,97.3412772760845,53.955580902757,82.9201874326769,65.1890423374546,14.7285489874638,4.75846755634568,19.13399658,2.466391464,17.16977472417,18.7067232,2.10077275300787,0.589064376543406,4.02511102770939,1.16656026834823,1.96537340896012,4.02511102770939
"203",203,1.39900862003333,4.40280780431975,33.17013108,0,0.0171661392,0,14.6796064814815,3.15510805541735,19.815,7.5625,15.724,12.743,20.5315462962963,3.96537935483393,26.509,11.323,21.4735,19.688,8.82766666666667,3.37195439875597,15.686,-1.63400000000001,9.149,9.339,80.0501625787794,10.0301087564437,95.9918051996548,45.5569818180264,80.9104998004254,67.0443464929668,15.0634492918887,4.74843835981314,19.48910328,2.45857518,17.3599569,18.92739276,1.99251435718579,0.523878218361528,4.23502897016764,0.989013709969097,1.88621276408066,1.62426818176508
